Vigencia_Inicio,Vigencia_Fin,Aeropuerto,Nom_Aeropuerto,Gpo_Consumo,Tipo,Tarifa,No.,Descripcion,Precio_Pemex,Descnto_Pemex,Almacenamiento_Origen,Almacenamiento_Base,Almacenamiento_Hidrante,Alm_Horario_Extraordinario,Expedio_Autotanque,Expendio _ispensador,Exp_Horario_extraordinario,Tarifa_Succion,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE
30112021,06122021,AGU,AGUASCALIENTES,GPO 05-A,5-A,Contractual,101,TURBOSINA, $14.38779 ,-$0.56240 , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.18658 , $-   , $14.37115 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 05-B,5-B,Contractual,101,TURBOSINA, $14.38779 ,-$0.56240 , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.19933 , $-   , $14.38390 , $-   , $0.37394 , $-   , $0.55851 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 05-C,5-C,Contractual,101,TURBOSINA, $14.38779 ,-$0.56240 , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.25880 , $-   , $14.44337 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 05-D,5-D,Contractual,101,TURBOSINA, $14.38779 ,-$0.56240 , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.29278 , $-   , $14.47735 , $-   , $0.46739 , $-   , $0.65196 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 06-A,6-A,Contractual,101,TURBOSINA, $14.38779 ,-$0.58016 , $-   , $0.14880 , $-   , $0.07974 , $0.21239 , $-   , $0.10483 , $0.21239 , $14.16882 , $-   , $14.35339 , $-   , $0.36119 , $-   , $0.54576 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 06-B,6-B,Contractual,101,TURBOSINA, $14.38779 ,-$0.58016 , $-   , $0.14880 , $-   , $0.07974 , $0.22514 , $-   , $0.10483 , $0.22514 , $14.18157 , $-   , $14.36614 , $-   , $0.37394 , $-   , $0.55851 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 06-C,6-C,Contractual,101,TURBOSINA, $14.38779 ,-$0.58016 , $-   , $0.14880 , $-   , $0.07974 , $0.28461 , $-   , $0.10483 , $0.28461 , $14.24104 , $-   , $14.42561 , $-   , $0.43341 , $-   , $0.61798 , $-   
30112021,06122021,AGU,AGUASCALIENTES,GPO 06-D,6-D,Contractual,101,TURBOSINA, $14.38779 ,-$0.58016 , $-   , $0.14880 , $-   , $0.07974 , $0.31859 , $-   , $0.10483 , $0.31859 , $14.27502 , $-   , $14.45959 , $-   , $0.46739 , $-   , $0.65196 , $-   
30112021,06122021,BJX,EL BAJIO,GPO 10-A,10-A,Adicional,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.18223 , $0.14749 , $0.07293 , $0.18223 , $14.79379 , $14.76905 , $14.91882 , $14.89408 , $0.34193 , $0.31719 , $0.46696 , $0.44222 
30112021,06122021,BJX,EL BAJIO,GPO 10-B,10-B,Adicional,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.19317 , $0.15634 , $0.07293 , $0.19317 , $14.80473 , $14.77790 , $14.92976 , $14.90293 , $0.35287 , $0.32604 , $0.47790 , $0.45107 
